Emoji,Código,Categoría,Descripción,Emoción,Valor
😀,1F600,Cara positiva,Cara sonriente,Alegria,5
❤️,2764 FE0F,Emociones,Corazón rojo,Amor,5
😍,1F60D,Caras positivas,Cara sonriente con ojos de corazón,Amor,4
😂,1F602,Caras positivas,Cara con lágrimas de alegría,Alegria,5
😘,1F618,Caras positivas,Cara lanzando beso,Amor,4
😒,1F612,Caras neutral,Desaprobación,Disgusto,3
😊,1F60A,Caras positivas,Cara sonriente con ojos sonrientes,Alegria,5
😎,1F60E,Caras positivas,Cara sonriente con lentes de sol,Alegria,4
💕,1F495,Emociones,Dos corazones,Amor,5
😏,1F60F,Caras neutral,Cara complice ,Alegria,4
😉,1F609,Caras positivas,Cara con guiño,Alegria,3
😭,1F62D,Cara negativa,Cara llorando fuerte,Tristeza,5
🙈,1F648,Animal mamifero,Mono tapandose los ojos,Sorpresa,5
☺,263A,Caras positivas,Relajado,Alegria,3
💋,1F48B,Emociones,Marca de beso,Amor,4
👍,1F44D,Cuerpo,Pulgar arriba,Alegria,5
💯,1F4AF,Alfanumérico,Cien puntos,Alegria,5
👌,1F44C,Cuerpo,Mano OK,Alegria,5
😠,1F620,Cara negativa,Enojado,Ira,5
😬,1F62C,Cara negativa,Sonrisa incómoda,Miedo,3
😱,1F631,Cara negativa,Grito,Panico,4
😪,1F62A,Cara neutral,Dormitando,Ansiedad,4
💔,1F494,Emociones,Corazón roto,Depresion,5
😩,1F629,Cara negativa,Cara cansada,Disgusto,4
✋,270B,Cuerpo,Mano alzada ,Ira,3
😌,1F60C,Cara neutral,Cara aliviada ,Alegria,2
😋,1F60B,Cara positiva,Cara saboreando comida,Alegria,5
😞,1F61E,Cara negativa,Cara desepcionada ,Depresion,4
😁,1F601,Cara positiva,Cara sonriente  ,Alegria,5
😕,1F615,Cara neutral,Cara confundida ,Interes,3
🙏,1F64F,Cuerpo,Manos dobladas,Ansiedad,3
😜,1F61C,Cara neutral,Guiño con lengua,Alegria,2
✌️,270C FE0F,Cuerpo,Mano de victoria,Alegria,2
🌸,1F338,Plantas,Flor de cerezo,Amor,3
💙,1F499,Emociones,Corazón azul,Amor,5
🐶,1F436,Animales,Cara de perro,Alegria,1
👑,1F451,Ropa,Corona,Alegria,2
👊,1F44A,Cuerpo,Puño,Ira,3
😝,1F61D,Cara positiva,Entrecerrando la cara con la lengua,Alegria,4
📷,1F4F7,Luz y video,Cámara fotográfica,Alegria,1
🌹,1F339,Plantas,Rosa,Amor,3
😷,1F637,Cara enferma,Cara con mascarilla,Mania,4
😔,1F614,Cara neutral,Cara pensativa,Tristeza,2
🌞,1F31E,Cielo y clima,Sol con cara,Alegria,2
😣,1F623,Cara neutral,Cara perseverante,Ansiedad,3
😇,1F607,Cara con rol,Sonrisa con aureola,Alegria,3
😳,1F633,Cara negativa,Cara enrojezida,Sorpresa,4
😏 ,1F60F,Cara positiva,Cara Sonriente,Amor,3
🎶,1F3B6,Música,Notas musicales,Alegria,0
😙,1F619,Cara positiva,Cara besando con ojos cerrados,Amor,4
🍻,1F37B,Bebidas,Choque de cervezas,Alegria,4
😈,1F608,Cara fantasía,Sonrisa con cuernos,Alegria,2
🔥,1F525,Cielo y clima,Fuego,Ira,0
👎,1F44D,Cuerpo,Pulgar abajo,Disgusto,3
🙌,1F64C,Cuerpo,Manos levantadas,Alegria,3
😶,1F636,Cara neutral,Cara sin boca,Interes,3
😯,1F62E,Cara neutral,Cara sorprendida,Sorpresa,5
👀,1F440,Cuerpo,Ojos,Interes,4
😻,1F63B,Cara gato,Gato con ojos de corazón ,Amor,4
😤,1F624,Cara negativa,Cara con vapo de la nariz,Ira,4
💩,1F4A9,Cara fantasía,Pila de popo,Disgusto,2
😢,1F622,Cara negativa,Cara Llorosa,Tristeza,4
💎,1F48E,Ropa,Gema,Alegria,2
🌚,1F31B,Cielo y Clima,Cara luna nueva,Alegria,1
🎉,1F389,Eventos,Lanzaconfeti,Alegria,2
🎂,1F382,Comida dulce,Pastel de cumpleaños,Alegria,2
💀,1F480,Cara fantasía,Calaca ,Panico,5
😡,1F621,Cara negativa,Cara de Puchero,Ira,4
💅,1F485,Cuerpo,Esmalte de uñas,Ira,2
😅,1F605,Cara positiva,Cara con sudor frio,Panico,3
🐰,1F430,Animales,Cara de conejo,Amor,2
💁,1F481,Gestos de personas,Mujer con mano inclinada,Disgusto,3
